Hackerspace,Hackerspace#,Country,State,City,Website,Date-of-founding,Hackerspace-status,data-sort-value,
MAD emergent art center,MAD emergent art center,Netherlands,Noord Brabant,Eindhoven,http://mad.dse.nl,1 May 2008,active,2454587.5,
OpenL4B.Norte Hackerspace,OpenL4B.Norte Hackerspace,Mexico,Baja California,Ensenada,,11 May 2008,active,2454597.5,
MuCCC,MuCCC,Germany,Bavaria,Munich,http://muc.ccc.de/,1 June 2008,active,2454618.5,
Platform4,Platform4,Denmark,,Aalborg,http://www.platform4.dk,1 June 2008,active,2454618.5,
Sublab,Sublab,Germany,Saxony,Leipzig,http://www.sublab.org/,19 June 2008,active,2454636.5,
HackLab.TO,HackLab.TO,Canada,Ontario,Toronto,http://hacklab.to,1 July 2008,active,2454648.5,
Centre for Internet and Society,Centre for Internet and Society,India,Karnataka,Bangalore,http://cis-india.org,1 July 2008,active,2454648.5,
FOULAB,FOULAB,Canada,Quebec,Montreal,http://foulab.org/,18 July 2008,active,2454665.5,
IslandLabs,IslandLabs,United States of America,New York,Farmingdale,http://islandlabs.org,23 July 2008,active,2454670.5,
Digitales Aachen e.V. (digitac),Digitales Aachen e.V. (digitac),Germany,,Aachen,http://digitac.cc,28 July 2008,active,2454675.5,
HACKMIAMI,HACKMIAMI,United States of America,Florida,Miami,http://www.hackmiami.org/,1 August 2008,active,2454679.5,
6' Warranty,6' Warranty,United States of America,Ohio,Mount Vernon,,1 August 2008,building,2454679.5,
The Detroit Facility,The Detroit Facility,United States of America,Michigan,Detroit,,3 August 2008,closed,2454681.5,
Hackzwolle,Hackzwolle,Netherlands,,Zwolle,,8 August 2008,planned,2454686.5,
IChengdu,IChengdu,China,SiChuan,Chengdu,http://www.ichengdu.org,8 August 2008,active,2454686.5,
VHS,VHS,Canada,British Columbia,Vancouver,http://vanhack.ca,19 August 2008,active,2454697.5,
Forskningsavdelningen,Forskningsavdelningen,Sweden,Skåne,Malmö,http://forskningsavd.se,25 August 2008,active,2454703.5,
Syn2cat,Syn2cat,Luxembourg,Luxembourg,Luxembourg,http://www.hackerspace.lu,26 August 2008,active,2454704.5,
Hackburg,Hackburg,Switzerland,Freiburg,Freiburg,http://hackburg.ch,28 August 2008,active,2454706.5,
PiNG,PiNG,France,Pays de la Loire,Nantes,http://www.pingbase.net/,1 September 2008,active,2454710.5,
Black Lodge,Black Lodge,United States of America,Washington,Redmond,http://www.blacklodgeresearch.org,1 September 2008,active,2454710.5,
Denhac,Denhac,United States of America,Colorado,Denver,http://www.denhac.org,3 September 2008,active,2454712.5,
HacClearwater,HacClearwater,United States of America,Florida,Clearwater,http://hacclearwater.wikia.org,5 September 2008,closed,2454714.5,
Club Workshop,Club Workshop,United States of America,Colorado,Denver,http://www.clubworkshop.com/,5 September 2008,closed,2454714.5,
Ductape,Ductape,South Africa,Kwazulu Natal,Durban,http://ductape.co.za/,14 September 2008,closed,2454723.5,
LCD - Audiência Zero,LCD - Audiência Zero,Portugal,Porto,Matosinhos,https://www.lcdporto.org,20 September 2008,active,2454729.5,
Pumping Station: One,Pumping Station: One,United States of America,Illinois,Chicago,http://www.pumpingstationone.org,26 September 2008,active,2454735.5,
HackerspaceSD,HackerspaceSD,United States of America,California,San Diego,,13 October 2008,unknown,2454752.5,
Hackerspace Brussels,Hackerspace Brussels,Belgium,Brussels,Brussels,https://hackerspace.be,14 October 2008,active,2454753.5,
NUIMMakersClub,NUIMMakersClub,Ireland,Leinster,Maynooth,,24 October 2008,active,2454763.5,
Phoenix Asylum,Phoenix Asylum,United States of America,Colorado,Boulder,http://phoenixasylum.org,1 November 2008,active,2454771.5,
New Work City,New Work City,United States of America,New York,New York City,http://nwc.co,1 November 2008,active,2454771.5,
Raumfahrtagentur,Raumfahrtagentur,Germany,,Berlin,http://raumfahrtagentur.org/,14 November 2008,active,2454784.5,
DetroitWeb.net,DetroitWeb.net,United States of America,Michigan,Detroit,http://www.detroitweb.net,21 November 2008,planned,2454791.5,
CoHabitat,CoHabitat,United States of America,Texas,Dallas,http://www.cohabitat.us,1 December 2008,planned,2454801.5,
FreesideAtlanta,FreesideAtlanta,United States of America,Georgia,Atlanta,http://www.freesideatlanta.org,2 December 2008,active,2454802.5,
The Skiff,The Skiff,United Kingdom,Sussex,Brighton,http://theskiff.org,5 December 2008,active,2454805.5,
CCC Mannheim,CCC Mannheim,Germany,Baden-Württemberg,Mannheim,https://www.ccc-mannheim.de,10 December 2008,active,2454810.5,
HackerHeaven.net,HackerHeaven.net,Netherlands,Groningen,Groningen,http://www.morphle.org:8502/silicsonsqueak/hackerheaven.net,20 December 2008,building,2454820.5,
HackerHeaven,HackerHeaven,Netherlands,Groningen,Wehe-den Hoorn,http://www.morphle.org:8502/silicsonsqueak/hackerheaven.net,20 December 2008,building,2454820.5,
Southern Arizona Technology Lab,Southern Arizona Technology Lab,United States of America,Arizona,Tucson,http://satl.info,25 December 2008,planned,2454825.5,
TechStars,TechStars,United States of America,Colorado,Boulder,http://www.winterinthebunker.com/,26 December 2008,active,2454826.5,
Randomdata,Randomdata,Netherlands,Utrecht,Utrecht,http://www.randomdata.nl,1 January 2009,active,2454832.5,
Confusion Research Center,Confusion Research Center,United States of America,Texas,"Austin, TX & Cheyenne, WY",http://confusionresearchcenter.org,1 January 2009,planned,2454832.5,
META,META,France,Centre,Blois,https://cc-meta.cc/,1 January 2009,active,2454832.5,
Morloklabs,Morloklabs,Spain,Seville,Seville,http://morloklabs.blogspot.com.es,1 January 2009,building,2454832.5,
Birmingham Hack Space,Birmingham Hack Space,United Kingdom,West Midlands,Birmingham,http://www.fizzpop.org.uk,1 January 2009,active,2454832.5,
Twin Cities Maker,Twin Cities Maker,United States of America,Minnesota,Minneapolis,http://www.tcmaker.org,6 January 2009,active,2454837.5,
Sligo,Sligo,Ireland,Sligo,Sligo,,13 January 2009,building,2454844.5,
Initlab,Initlab,Bulgaria,Sofia,Sofia,http://initlab.org,14 January 2009,active,2454845.5,
Detroit Industrial Arts League,Detroit Industrial Arts League,United States of America,Michigan,Detroit,http://www.detroitindustrialarts.com,15 January 2009,planned,2454846.5,
Fabrica de Sueños,Fabrica de Sueños,Mexico,Morelos,Cuernavaca,http://www.cingneieros.com,15 January 2009,active,2454846.5,
Some Hackers In Town,Some Hackers In Town,Iran,Alborz,Karaj,,16 January 2009,active,2454847.5,
Diodo.Org,Diodo.Org,Portugal,Lisbon,Lisbon,http://diodo.org,18 January 2009,closed,2454849.5,
Innovoid,Innovoid,Turkey,,Istanbul,http://www.mclightning.com,19 January 2009,building,2454850.5,
TOG,TOG,Ireland,Leinster,Dublin,http://tog.ie/,21 January 2009,active,2454852.5,
0x0lab.org,0x0lab.org,Greece,Attika,Athens,http://www.0x0lab.org,25 January 2009,planned,2454856.5,
Hackerspace Budapest,Hackerspace Budapest,Hungary,,Budapest,https://hsbp.org/,1 February 2009,active,2454863.5,
Baltimore Hackerspace,Baltimore Hackerspace,United States of America,Maryland,Baltimore,http://www.baltimorehackerspace.com,1 February 2009,active,2454863.5,
Unloquer,Unloquer,Colombia,Antioquia,Medellin,http://unloquer.org/,1 February 2009,active,2454863.5,
Wyoming Tinker Guild,Wyoming Tinker Guild,United States of America,Wyoming,Laramie,http://www.tinkerguild.com,2 February 2009,building,2454864.5,
London Hackspace,London Hackspace,United Kingdom,London,London,https://london.hackspace.org.uk,2 February 2009,active,2454864.5,
Bits&Ohms,Bits&Ohms,Portugal,,Guimarães,,11 February 2009,planned,2454873.5,
Genspace NYC,Genspace NYC,United States of America,New York,New York City,http://www.genspace.org,11 February 2009,active,2454873.5,
Free Information Exchange Foundation,Free Information Exchange Foundation,United States of America,Oklahoma,Tulsa,http://www.fiefoundation.net,17 February 2009,closed,2454879.5,
Hacklaviva,Hacklaviva,Portugal,Porto,Porto,http://hacklaviva.net,20 February 2009,closed,2454882.5,
Columbus Idea Foundry,Columbus Idea Foundry,United States of America,Ohio,Columbus,http://www.ColumbusIdeaFoundry.com,21 February 2009,active,2454883.5,
FizzPOP,FizzPOP,United Kingdom,West Midlands,Birmingham,http://www.fizzpop.org.uk,28 February 2009,active,2454890.5,
